timestamp,action,joint_positions,gripper_state,object_id,success,action
0.0,[nan],"[-0.29974502 -0.41831732  0.19516233 -2.7042036  -0.00621446  2.4050987
  0.65657693]",open,object_01,True,place
0.1,[nan],"[-2.9391146e-01 -3.8648087e-01  2.0456423e-01 -2.6764822e+00
  1.5562410e-03  2.4061241e+00  6.6358995e-01]",open,object_01,False,
0.2,[nan],"[-0.29205394 -0.3782058   0.20731801 -2.668381    0.00334893  2.4061897
  0.6660899 ]",open,object_01,False,
0.3,[nan],"[-0.28517932 -0.35347918  0.21677703 -2.6443264   0.0092796   2.406188
  0.67521167]",open,object_01,False,
0.4,[nan],"[-0.27998552 -0.33143324  0.22600543 -2.6227856   0.01686999  2.406275
  0.682694  ]",open,object_01,False,
0.5,[nan],"[-0.27793962 -0.32211635  0.23012085 -2.6127987   0.01932667  2.4064193
  0.68625134]",open,object_01,False,
0.6,[nan],"[-0.2720111  -0.2997612   0.23778659 -2.5904927   0.02100001  2.4067442
  0.69626707]",open,object_01,False,
0.7,[nan],"[-0.26824412 -0.28267115  0.24331407 -2.5742188   0.02124159  2.4070358
  0.7048209 ]",open,object_01,False,
0.8,[nan],"[-0.26599637 -0.26963222  0.24758779 -2.5613487   0.02160887  2.4071217
  0.7099804 ]",open,object_01,False,
0.9,[nan],"[-0.26258036 -0.25253543  0.2540228  -2.544866    0.02195442  2.4074497
  0.7183159 ]",open,object_01,False,
1.0,[nan],"[-0.26123106 -0.24614891  0.25636575 -2.5384989   0.02194283  2.4074697
  0.7217922 ]",open,object_01,False,
1.1,[nan],"[-0.2572357  -0.2232616   0.26554263 -2.516244    0.02194219  2.40754
  0.7336248 ]",open,object_01,False,
1.2,[nan],"[-0.25628817 -0.21742377  0.2680394  -2.5102053   0.02196034  2.4075317
  0.7369865 ]",open,object_01,False,
1.3,[nan],"[-0.2499746  -0.1980475   0.27856427 -2.4924362   0.02198944  2.4075153
  0.7523281 ]",open,object_01,False,
1.4,[nan],"[-0.24495274 -0.19263464  0.28339204 -2.4876719   0.02198531  2.4074972
  0.7619508 ]",open,object_01,False,
1.5,[nan],"[-0.24340302 -0.19151886  0.28483862 -2.4867697   0.02197429  2.4074945
  0.76485133]",open,object_01,False,
1.6,[nan],"[-0.24205767 -0.19097456  0.28693697 -2.486049    0.02198402  2.4074962
  0.76817507]",open,object_01,False,
1.7,[nan],"[-0.24211797 -0.19094913  0.28691113 -2.485912    0.02198866  2.4074998
  0.7682711 ]",open,object_01,False,
1.8,[nan],"[-0.24212223 -0.19096066  0.2869168  -2.4856653   0.02198561  2.407442
  0.76859653]",open,object_01,False,
1.9,[nan],"[-0.24211974 -0.19096401  0.28692353 -2.4856899   0.02198663  2.4057567
  0.76879346]",open,object_01,False,
2.0,[nan],"[-0.24211322 -0.19038318  0.28692707 -2.4861777   0.02198883  2.404738
  0.76901186]",open,object_01,False,
2.1,[nan],"[-0.24211265 -0.18407473  0.28694355 -2.4887373   0.02197229  2.405154
  0.7694232 ]",open,object_01,False,
2.2,[nan],"[-0.24210465 -0.18024519  0.28695732 -2.489417    0.02195666  2.4060094
  0.769593  ]",open,object_01,False,
2.3,[nan],"[-0.24215794 -0.1583086   0.28696764 -2.4918323   0.02139855  2.4186263
  0.77012575]",open,object_01,False,
2.4,[nan],"[-0.242223   -0.149339    0.28696173 -2.4919388   0.02114413  2.4240568
  0.7702477 ]",open,object_01,False,
2.5,[nan],"[-0.24276133 -0.11797494  0.28690156 -2.4920824   0.02019019  2.4444664
  0.7705956 ]",open,object_01,False,
2.6,[nan],"[-0.24339235 -0.0963598   0.2866499  -2.492078    0.02003091  2.4589417
  0.77061385]",open,object_01,False,
2.7,[nan],"[-0.2434343  -0.09271115  0.28653237 -2.4920547   0.02003858  2.460809
  0.77061886]",open,object_01,False,
2.8,[nan],"[-0.24345389 -0.08937469  0.28641224 -2.491992    0.02008574  2.4616783
  0.7707123 ]",open,object_01,False,
2.9,[nan],"[-0.24344717 -0.08938428  0.28640443 -2.491995    0.02018698  2.4616385
  0.7708038 ]",open,object_01,False,
3.0,[nan],"[-0.24345632 -0.08932339  0.28637508 -2.4913456   0.02021126  2.4619496
  0.77087915]",open,object_01,False,
3.1,[nan],"[-0.2434936  -0.08735032  0.28622246 -2.486531    0.02020608  2.4638848
  0.77101505]",open,object_01,False,
3.2,[nan],"[-0.24352914 -0.08254325  0.28580064 -2.481445    0.02018353  2.4691143
  0.77102274]",open,object_01,False,
3.3,[nan],"[-0.24364342 -0.07505509  0.2852368  -2.4752457   0.0200037   2.4784782
  0.77103496]",open,object_01,False,
3.4,[nan],"[-0.24385338 -0.06192682  0.28463203 -2.463503    0.01962438  2.4880548
  0.7710306 ]",open,object_01,False,
3.5,[nan],"[-0.24405009 -0.05552352  0.28431916 -2.4576194   0.01923342  2.491202
  0.7710374 ]",open,object_01,False,
3.6,[nan],"[-0.24500416 -0.02998698  0.28337345 -2.4335938   0.01796689  2.499003
  0.77100897]",open,object_01,False,
3.7,[nan],"[-0.24520835 -0.0221581   0.28288656 -2.4259436   0.01776724  2.499403
  0.7710111 ]",open,object_01,False,
3.8,[nan],"[-0.24528675 -0.00749663  0.28154    -2.412536    0.017708    2.4993963
  0.7710112 ]",open,object_01,False,
3.9,[nan],"[-0.24525951 -0.00603753  0.28117743 -2.4137952   0.01779306  2.4961023
  0.771021  ]",open,object_01,False,
4.0,[nan],"[-0.24524741 -0.00631738  0.2811858  -2.4150949   0.01784133  2.4943368
  0.771021  ]",open,object_01,False,
4.1,[nan],"[-0.24521796 -0.00988291  0.28118905 -2.424843    0.01795098  2.4913604
  0.7710238 ]",open,object_01,False,
4.2,[nan],"[-0.2451636  -0.01232684  0.28118935 -2.4298637   0.01797663  2.489896
  0.7710372 ]",open,object_01,False,
4.3,[nan],"[-0.24508172 -0.01950353  0.28120896 -2.4391143   0.01808256  2.4864297
  0.77104366]",open,object_01,False,
4.4,[nan],"[-0.2450185  -0.02235315  0.28121316 -2.4406607   0.01808335  2.482847
  0.77103704]",open,object_01,False,
4.5,[nan],"[-0.24495235 -0.02391058  0.28122678 -2.4407542   0.0180899   2.4795852
  0.77105546]",open,object_01,False,
4.6,[nan],"[-0.2449201  -0.02445848  0.28122672 -2.4407582   0.01808695  2.4780867
  0.77107036]",open,object_01,False,
4.7,[nan],"[-0.24491723 -0.02450802  0.28122628 -2.4407437   0.018089    2.477457
  0.77108634]",open,object_01,False,
4.8,[nan],"[-0.24491607 -0.02452814  0.28122842 -2.4407513   0.01809132  2.477177
  0.7710789 ]",open,object_01,False,
4.9,[nan],"[-0.24491712 -0.02453615  0.28122315 -2.440759    0.01808796  2.4770632
  0.7710814 ]",open,object_01,False,
5.0,[nan],"[-0.2449191  -0.02475353  0.2812181  -2.4407465   0.01808903  2.4768784
  0.77108955]",close,object_01,True,grasp
5.1,[nan],"[-0.24491858 -0.02561499  0.28122    -2.440693    0.01809479  2.4768414
  0.7710848 ]",open,object_01,False,
5.2,[nan],"[-0.2447869  -0.04251251  0.28124094 -2.4408174   0.01873602  2.4612992
  0.7711025 ]",open,object_01,False,
5.3,[nan],"[-0.2446194  -0.05543095  0.28128228 -2.4415941   0.01937397  2.447516
  0.77111226]",open,object_01,False,
5.4,[nan],"[-0.24323992 -0.10398119  0.28175643 -2.4522622   0.02320603  2.405542
  0.77114767]",open,object_01,False,
5.5,[nan],"[-0.24244139 -0.13434179  0.28278112 -2.4645107   0.02616659  2.3858902
  0.7711373 ]",open,object_01,False,
5.6,[nan],"[-0.23964015 -0.19040838  0.28487644 -2.498258    0.03482496  2.3625453
  0.7711141 ]",open,object_01,False,
5.7,[nan],"[-0.23810597 -0.20620121  0.2850905  -2.5117297   0.03760104  2.3593898
  0.7711051 ]",open,object_01,False,
5.8,[nan],"[-0.23370166 -0.24980725  0.28518865 -2.5542142   0.04235449  2.3592503
  0.7711179 ]",open,object_01,False,
5.9,[nan],"[-0.2298862  -0.2733701   0.2855553  -2.576416    0.04510641  2.359771
  0.7714663 ]",open,object_01,False,
6.0,[nan],"[-0.22511984 -0.28540474  0.28731963 -2.5863595   0.05026994  2.3603082
  0.7729143 ]",open,object_01,False,
6.1,[nan],"[-0.21456297 -0.29221225  0.294947   -2.5898352   0.05830994  2.3603187
  0.7826622 ]",open,object_01,False,
6.2,[nan],"[-0.20971973 -0.29311857  0.29955325 -2.5898407   0.05927915  2.360358
  0.7898928 ]",open,object_01,False,
6.3,[nan],"[-0.2038125  -0.29317752  0.3093543  -2.5898764   0.05938043  2.3619635
  0.80311555]",open,object_01,False,
6.4,[nan],"[-0.20381872 -0.29317433  0.31095162 -2.589875    0.05915187  2.3627841
  0.80345994]",open,object_01,False,
6.5,[nan],"[-0.20380783 -0.293175    0.3109796  -2.589875    0.05904685  2.363
  0.80332917]",open,object_01,False,
6.6,[nan],"[-0.20378299 -0.29316866  0.31113675 -2.589875    0.05880385  2.3635285
  0.8024139 ]",open,object_01,False,
6.7,[nan],"[-0.203754   -0.29316893  0.31130898 -2.589875    0.05852066  2.3638067
  0.8015876 ]",open,object_01,False,
6.8,[nan],"[-0.20369917 -0.29316798  0.31162786 -2.589871    0.05832353  2.363897
  0.80050904]",open,object_01,False,
6.9,[nan],"[-0.20357351 -0.29316795  0.3121537  -2.5898788   0.0579759   2.363897
  0.7973615 ]",open,object_01,False,
7.0,[nan],"[-0.20355153 -0.29316694  0.31250495 -2.5898886   0.05793427  2.3638914
  0.7939738 ]",open,object_01,False,
7.1,[nan],"[-0.20352449 -0.2931647   0.31266463 -2.589893    0.057924    2.363896
  0.79164934]",open,object_01,False,
7.2,[nan],"[-0.20352092 -0.29316464  0.31277883 -2.589901    0.05792192  2.363895
  0.7868418 ]",open,object_01,False,
